,CODE,ProdHRisk,Atotal,pRegARisk,Ntype,Ngroup,RetOnCap,LogATotal,RBCratio,year95,year96,year97,lagpRegARisk,lagProdHRisk,CARatio,lagCAratio
14773,88080,0.281733606,158747651,0.062434684,1,1,0.113654971,18.8828264,1783.952006,0,0,0,0.067467704,0.24101615,0.538984882,0.463653379
14774,88080,0.492352445,161628627,0.071669091,1,1,0.069282147,18.90081184,2321.122433,0,0,0,0.062434684,0.281733606,0.531793585,0.538984882
14775,88080,-0.001881855,705538666,0.003980433,1,1,-0.007580474,20.37447213,774.2306382,0,0,0,0.003980433,-0.001881855,0.125341279,0.125341279
14776,88080,-0.000201767,834977677,0.003905919,1,1,0.053559751,20.54291555,437.3440519,0,0,0,0.003980433,-0.001881855,0.107834548,0.125341279
14777,88080,0.600906173,736668962,0.00536505,1,1,-0.691891502,20.41764918,209.6018804,0,0,0,0.00536505,0.600906173,0.035781689,0.035781689
14778,88099,0,18096809,0.018472232,1,0,0.042374395,16.71124618,661.1270917,0,0,0,0.018472232,0,0.41428779,0.41428779
14779,88099,0,14356710,0.021596804,1,0,0.01108079,16.47972799,638.4670392,0,0,0,0.018472232,0,0.501251888,0.41428779
14780,88099,0,13970999,0.021432659,1,0,0.021985212,16.45249424,657.3645495,1,0,0,0.021596804,0,0.49533888,0.501251888
14781,88099,0,27587521,0.003,1,1,0.026889616,17.13287409,1889.481967,0,1,0,0.021432659,0,0.773761368,0.49533888
14782,88099,0,30341481,0.003,1,1,0.004982663,17.22802634,1256.021757,0,0,1,0.003,0,0.696071164,0.773761368
14783,88099,0,30448362,0.003,1,1,0.009803026,17.23154276,1084.595189,0,0,0,0.003,0,0.69507092,0.696071164
14784,88099,0,34196434,0.016293161,1,1,0.057619421,17.34763193,648.8533669,0,0,0,0.003,0,0.631515146,0.69507092
14785,88099,0,35073804,0.014536741,1,1,0.034407034,17.37296509,741.1210768,0,0,0,0.016293161,0,0.618991484,0.631515146
14786,88099,0,35954685,0.019553826,1,1,0.018329357,17.39776995,921.6196911,0,0,0,0.014536741,0,0.599646833,0.618991484
14787,88099,0,36190381,0.013337208,1,1,0.011829177,17.40430392,886.0412052,0,0,0,0.019553826,0,0.595712601,0.599646833
